Gene	A.1	A.2	A.3	B.1	B.2	B.3	C.1	C.2	C.3	D.1	D.2	D.3	E.1	E.2	E.3
Dnali1	0	0	1	0	1	0	0	1	1	0	0	0	2	0	0
Dnase1	103	1	0	0	0	0	0	1	0	1	0	1	94	0	0
Dnase1l1	71	32	25	197	51	49	72	86	57	212	37	70	95	27	54
Dnase1l2	83	30	36	135	44	45	77	102	90	119	34	42	44	49	36
Dnase1l3	5	0	0	7	1	1	4	0	6	3	0	1	2	1	0
Dnase2a	8	9	8	120	36	24	17	33	20	62	17	19	16	10	19
Dnase2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnd1	25	16	17	77	21	15	56	62	54	80	17	22	31	22	20
Dner	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Dnlz	538	326	252	923	395	347	771	1028	834	984	282	357	513	395	441
Dnm1	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0
Dnm1l	2136	1177	1265	3676	1537	1394	3170	3914	2961	2438	1377	1491	1794	1450	1682
Dnm2	4784	3572	3254	7620	3669	3249	6798	8249	6441	9500	2866	3482	3621	3852	4127
Dnm3	6	4	1	5	7	8	6	6	3	6	2	3	1	11	7
Dnm3os	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Dnmbp	348	287	258	701	382	338	674	813	581	640	298	337	329	444	382
Dnmt1	4521	1666	2795	12842	6114	4636	14124	17466	13716	13687	3857	6608	4838	6311	5138
Dnmt3a	3355	2054	1707	6753	3043	2043	5779	6562	5136	5341	2262	1961	3128	2693	2385
Dnmt3b	23	6	16	155	67	40	109	121	96	105	35	49	35	48	27
Dnmt3l	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Dnpep	374	215	255	737	370	372	681	897	734	1204	292	484	322	334	362
Dnph1	108	17	35	209	94	76	142	214	160	424	45	111	118	56	45
Dntt	39100	19757	25719	37443	21530	30373	42651	61447	41178	74943	22113	33997	27567	28180	40022
Dnttip1	482	177	198	799	259	221	534	663	467	1016	190	270	461	253	271
Dnttip2	1211	522	737	2315	840	775	1857	2436	1812	1692	559	870	988	721	1059
Doc2a	427	2	0	2	1	1	1	2	2	2	0	0	380	0	0
Doc2b	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Doc2g	48	20	25	115	35	34	37	50	43	94	15	36	39	15	36
Dock1	4	0	2	45	22	2	5	5	3	3	1	1	11	2	1
Dock10	1619	2096	3350	4781	4233	4370	8868	11323	8740	3389	4113	4370	2314	3502	6016
Dock11	2312	2576	2937	5439	3945	4231	10669	13895	10363	4812	5370	5540	3001	4451	6163
Dock2	4744	6047	4667	8446	5653	4885	17741	19872	16322	9340	7565	6434	5258	7723	8413
Dock3	7	1	1	2	2	1	0	3	1	0	0	0	7	0	1
Dock4	21	17	18	51	18	14	27	32	27	8	7	4	9	17	12
Dock5	86	56	79	168	124	134	360	454	294	351	127	165	138	163	124
Dock6	31	14	8	96	34	22	99	91	71	184	31	44	52	40	19
Dock7	9	1	2	4	7	8	17	14	9	5	2	6	11	9	2
Dock8	6341	5772	5406	14233	5948	5392	11873	13209	10448	12315	4779	4831	5853	6064	6272
Dock9	299	223	193	218	121	189	834	882	795	306	269	280	410	360	508
Dohh	276	259	307	890	466	374	691	1045	733	1241	277	421	206	274	318
Dok1	291	186	187	568	239	243	369	544	399	734	182	305	218	191	267
Dok2	2585	1817	1598	3444	1906	1641	1556	2123	1603	3474	962	1184	1143	999	1539
Dok3	10	6	8	36	7	9	34	35	41	40	10	9	0	14	7
Dok4	34	7	6	42	9	6	5	6	8	10	1	6	15	5	4
Dok5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dok6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dok7	1	0	3	7	1	1	4	2	0	0	0	2	1	0	0
Dolk	232	158	134	382	176	160	250	346	254	285	127	144	130	126	171
Dolpp1	475	171	229	741	285	238	415	614	471	821	161	264	274	253	266
Dom3z	439	205	266	773	320	375	511	734	532	922	197	373	325	265	475
Donson	415	216	218	769	422	315	728	960	740	859	375	485	389	381	451
Dopey1	1453	2012	2015	3353	2645	2246	3273	4038	2931	1417	1903	1995	1255	1825	2576
Dopey2	849	684	461	1713	510	478	1286	1533	1182	1591	439	434	957	728	657
Dos	253	17	21	151	33	53	77	101	84	178	44	80	219	39	81
