	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell136	25859	4859	KO	A	0.831431996596929	TRUE	0	3.11363429947544	-4.91481975894867	0	0	0.572912768861261	0	0.326935878728184	0	2.16725220792848	1.20004771302583
cell137	20047	3933	KO	A	1.28198732977503	TRUE	0	1.74106187744785	-5.43227485996185	0	1.70282803064235	2.24919189336868	0	0	0	1.78980381614501	0
cell138	16387	3706	KO	A	2.16024897784829	TRUE	0	1.24822492523838	-5.73744634967743	0	1.77188300018691	1.23575029791764	0	0.476383127065126	0	2.25584536688784	0.797723230430766
cell139	21225	4217	KO	A	1.25795053003534	TRUE	0	1.04038972778965	-5.06649879795013	0	0	0	0.663865136248251	0.663865136248251	0	1.21066414818656	1.05937587064082
cell140	22971	4470	KO	A	0.905489530277306	TRUE	0	1.21821994705844	-5.98498777728973	0	1.15582955114656	0.361395836428159	0.361395836428159	0	0	1.28425859835358	2.17883056089478
cell141	13817	3518	KO	A	1.46920460302526	TRUE	0	1.83810682221103	-5.20722488742767	0	0.544499893336554	1.15412215185962	0	0	0	2.27057347685518	1.15412215185962
cell142	15267	3516	WT	A	2.23357568612039	FALSE	0	2.90525979920078	-6.48253540378509	0.837254046232457	0	1.45279291239275	0	0	0	1.93080634343473	1.08688465392482
cell143	12402	3231	KO	A	0.846637639090469	TRUE	0	-0.149331618111844	-7.27079872470794	0	1.22933778100909	0	1.22933778100909	0	0	0.96036239936054	1.22933778100909
cell144	15923	3394	KO	A	0.471016768196948	TRUE	0	2.76539392395664	-5.44448713642059	0	0	0.487366000653083	0	0	0	0.813613154003156	0.487366000653083
cell145	35065	4986	KO	A	1.06659061742478	FALSE	0	2.94377250595737	-6.34988788944183	0	0.451310823628034	1.27163012016028	0.250902410019499	0	0	1.48664090186442	1.71612935436499
cell146	15506	3305	KO	A	0.909325422417129	TRUE	0	0.358569812018161	-6.7748127399057	0	1.5829850774993	1.44091469570257	0	0	0	0.497686672807941	1.44091469570257
cell147	23013	4232	KO	A	0.664841611263199	TRUE	0	1.28431148453403	-6.55963997226654	0	0.834477892848759	2.01730746253797	0	0	0	1.49879592021233	1.89446361145791
cell148	25458	4592	KO	A	1.19412365464687	TRUE	0	0.168987940985446	-6.58849338870941	0	0	0.331318862027946	1.67163159372339	0.331318862027946	0.331318862027946	1.74285734969923	2.63637706335565
cell149	12833	2956	KO	A	1.18444634925582	TRUE	0	1.49806089325595	-5.93493418079315	0	1.20528885527339	1.58846043490377	0	0	0	1.20528885527339	1.41511601721873
cell150	18657	3801	KO	A	0.777188186739562	TRUE	0	0.665188264090305	-5.85777668338714	0	0.9585742723838	1.55855358082395	0.728506460393184	0	0	1.93092853765082	1.30290168272261
cell151	28809	4591	KO	A	0.760179110694575	TRUE	0	1.17316932602573	-7.23995594364105	0	1.64197576611694	1.88004808374283	0	0	0	1.5724110491452	2.19540249958685
cell152	10519	2952	KO	A	1.32141838577812	TRUE	0	1.55715675278354	-5.60101322513519	0	0.668168140414473	1.06516629472258	0	0.668168140414473	0	1.56916635738831	1.56916635738831
cell153	38423	5082	KO	A	1.42883168935273	TRUE	0	3.20830125733066	-5.67357115131317	0	0	0.833475878174802	0.231318668836187	0.231318668836187	0	1.35141006662396	1.41661243223667
